N,District,Price,Rooms,Totsp,Livesp,Kitsp,Brick,Floor,Nfloors,Dist,Metrdist,Walk,Bal,Tel,New
141,0,15400000,2,49.0,28.0,7.0,0,1,6,4.01,10,0,1,1,1
142,0,27973000,1,51.0,-,-,1,2,3,1.05,3,1,0,-,1
143,0,33456291,2,88.0,1.0,-,1,19,86,8.11,3,1,0,0,1
144,0,9356608,1,42.6,42.6,-,1,2,6,4.77,5,1,0,0,1
145,0,9389600,2,48.0,28.0,11.0,0,4,16,2.21,5,1,1,-,1
146,0,9390000,2,37.0,22.0,8.0,0,1,9,5.31,2,1,0,1,1
147,0,9432900,1,44.6,-,-,1,7,39,5.43,5,1,0,-,0
148,0,9500000,2,43.0,29.0,6.0,1,3,5,3.11,9,1,1,1,1
149,0,9500000,1,35.2,20.0,9.6,0,5,12,4.85,9,1,1,1,1
150,0,9500000,1,30.0,18.0,6.0,1,1,5,3.06,4,1,0,0,1
151,0,9500000,1,38.5,20.0,10.0,0,6,18,4.97,5,1,0,0,1
152,0,9500000,1,36.9,16.8,7.9,1,3,24,6.61,15,1,1,-,1
153,0,9500000,2,45.0,27.0,7.0,0,10,12,4.75,10,1,1,1,1
154,0,9500000,2,45.0,29.0,6.8,1,4,5,4.97,15,1,1,1,1
155,0,9500000,1,40.0,21.0,9.0,1,5,13,3.18,5,1,1,0,1
156,0,9500000,2,39.5,22.2,7.5,0,11,12,5.22,5,1,1,1,1
157,0,9500000,2,39.0,27.0,-,1,2,6,3.21,5,1,0,1,1
158,0,9574472,1,36.6,36.6,-,0,5,-,4.74,6,1,0,-,0
159,0,9600000,1,37.0,17.0,9.0,0,24,25,0.48,-,0,1,-,1
160,0,9700000,2,50.0,30.0,7.0,1,1,14,7.46,11,1,1,-,1
161,0,9700000,2,38.0,32.0,6.0,0,3,17,4.19,11,1,1,1,1
162,0,9700000,2,47.4,29.0,7.4,0,2,12,2.83,7,1,1,1,1
163,0,9700000,1,35.0,20.0,9.0,0,3,12,4.85,9,1,1,-,1
164,0,9746690,1,42.0,42.0,-,0,5,-,4.74,6,1,0,-,0
165,0,9750000,1,37.9,19.0,10.0,0,12,16,1.45,8,1,1,-,1
166,0,9768439,2,46.2,46.2,-,1,5,6,4.77,5,1,0,0,1
167,0,9800000,3,58.0,42.0,5.5,1,6,9,7.89,8,1,1,1,1
168,0,9800000,1,60.0,45.0,10.0,1,3,5,4.74,5,1,1,0,1
169,0,39990000,3,87.3,60.0,9.0,0,3,5,3.27,10,1,0,1,1
170,0,49000000,3,70.0,40.5,10.0,1,8,9,1.32,7,1,1,-,1
171,0,33456291,2,88.0,1.0,-,1,19,86,8.11,3,1,0,0,1
172,0,9800000,2,46.0,35.0,7.0,0,10,12,3.19,4,1,1,1,1
173,0,9886025,3,59.1,59.1,-,1,3,6,4.77,5,1,0,0,1
174,0,9900000,1,30.0,15.0,8.0,0,7,8,3.01,7,1,0,-,1
175,0,9900000,2,44.6,32.0,7.0,1,1,9,3.52,15,1,1,1,1
176,0,9900000,2,42.6,28.6,5.5,1,4,5,5.49,10,1,1,1,1
177,0,9900000,2,46.0,30.0,7.8,1,3,8,2.46,8,1,1,1,1
178,0,9900000,1,38.0,19.0,7.4,0,13,17,9.29,15,1,1,0,1
179,0,9900000,2,49.0,32.0,8.0,0,7,12,2.65,12,1,1,0,1
180,0,9900000,1,38.0,19.5,9.1,1,10,14,1.79,3,1,1,-,1
181,0,9930382,2,46.2,46.2,-,1,1,6,4.77,5,1,0,0,1
182,0,9950000,2,40.0,27.0,5.0,1,1,8,3.46,10,1,0,-,1
183,0,9990000,1,35.0,20.0,10.0,0,5,8,3.62,12,1,1,0,1
184,0,10000000,2,33.0,24.0,4.0,1,3,5,1.75,4,1,0,-,1
185,0,10000000,1,34.8,19.9,9.7,0,2,12,5.89,3,1,0,1,1
186,0,9999999,1,35.1,20.0,10.0,0,9,12,9.16,10,1,1,1,1
187,0,10000000,2,38.0,23.0,8.0,0,8,9,5.57,4,1,1,-,1
188,0,10000000,1,33.9,18.0,9.0,1,9,9,5.25,11,1,1,-,1
189,0,10000000,3,54.5,38.0,5.4,1,1,9,6.13,7,0,0,1,1
190,0,10000000,2,40.0,28.0,6.0,0,3,12,7.81,12,1,1,1,1
191,0,10000000,2,41.0,25.1,6.1,1,1,8,3.52,11,1,0,-,1
192,0,10000000,2,41.5,28.2,5.1,1,9,9,5.3,3,1,1,1,1
193,0,10029600,2,50.0,28.0,11.0,0,8,16,2.21,5,1,1,-,1
194,0,10100000,2,44.6,32.0,7.0,1,1,9,3.52,11,1,1,1,1
195,0,10100000,2,44.6,32.0,7.0,1,1,9,3.52,10,1,1,1,1
196,0,10100000,2,52.0,31.0,10.0,0,7,12,5.01,-,0,0,-,1
197,0,140670000,2,104.2,104.2,22.7,1,3,6,2.36,5,0,0,-,0
198,0,155957350,5,215.5,-,-,0,3,7,2.08,9,1,0,-,0
199,0,233676773,4,237.4,-,-,0,2,8,2.36,15,1,0,-,1
200,0,10129011,1,46.2,46.2,-,0,2,-,4.74,6,1,0,-,0
201,0,10199229,1,46.5,46.5,-,0,1,-,4.74,6,1,0,-,0
202,0,10200000,1,35.0,19.0,8.0,1,3,12,7.35,15,0,1,0,1
203,0,10200000,1,48.4,48.4,-,0,20,44,5.42,7,1,0,-,1
204,0,10250000,1,37.0,18.0,10.0,1,6,9,4.7,5,1,1,0,1
205,0,10290000,1,30.1,15.1,8.0,1,2,14,4.0,5,1,0,1,1
206,0,10300000,2,39.0,24.0,6.0,0,14,14,5.86,6,1,1,-,1
207,0,10300000,2,39.0,26.0,7.0,0,4,12,2.53,9,0,1,1,1
208,0,10301984,1,44.3,44.3,-,0,5,-,4.74,6,1,0,-,0
209,0,10329300,2,49.0,28.0,11.0,0,13,16,2.21,5,1,1,-,1
210,0,10370000,2,52.0,31.0,10.0,0,8,12,1.98,8,1,0,0,1
211,0,10478000,3,69.9,53.2,-,1,16,19,5.79,-,0,0,-,0
212,0,10490000,2,46.0,28.0,7.0,0,6,12,3.19,4,1,1,1,1
213,0,10500000,1,39.0,19.0,9.0,0,11,17,5.82,3,1,1,0,1
214,0,10500000,3,65.0,47.0,9.0,0,3,5,6.92,9,1,0,1,1
215,0,10500000,1,30.0,17.0,7.0,0,5,5,2.14,5,1,0,0,1
216,0,10500000,1,35.5,19.0,10.0,0,2,5,5.75,2,1,0,1,1
217,0,10500000,2,38.0,23.5,7.5,0,6,9,2.32,8,1,1,-,1
218,0,10500000,1,37.0,17.0,9.0,1,1,9,3.85,10,1,1,1,1
219,0,10500000,2,55.0,32.0,8.0,0,7,17,7.97,14,1,1,0,1
