N,District,Price,Rooms,Totsp,Livesp,Kitsp,Brick,Floor,Nfloors,Dist,Metrdist,Walk,Bal,Tel,New
4388,5,6000000,1,31.5,19.0,6.0,0,2,5,3.12,7,0,1,0,1
4389,5,6000000,1,32.0,18.0,6.0,0,1,9,6.28,3,1,1,1,1
4390,5,6000000,2,38.3,22.8,7.2,0,5,9,7.91,7,1,1,-,1
4391,5,6000000,3,63.0,45.0,7.0,0,3,12,10.69,-,0,1,1,1
4392,5,6000000,2,38.0,25.0,6.0,1,9,9,5.84,7,1,1,1,1
4393,5,6008820,1,41.1,14.3,9.2,1,24,24,12.07,20,0,1,-,0
4394,5,6009786,1,39.7,15.2,9.9,1,33,45,11.78,15,0,1,0,1
4395,5,6050000,2,40.0,27.0,7.0,0,2,12,8.7,11,0,1,1,1
4396,5,6053940,1,40.4,16.4,10.0,1,17,17,12.06,15,0,1,-,0
4397,5,6858600,1,42.6,32.4,10.0,0,2,17,7.75,14,1,1,-,1
4398,5,20000000,3,80.0,46.0,13.0,0,8,17,6.83,9,1,1,-,1
4399,5,10746305,2,58.9,23.0,9.0,1,5,14,3.58,3,0,1,-,0
4400,5,6054840,1,41.7,18.0,14.0,1,9,10,13.49,7,1,1,-,0
4401,5,6069000,1,35.7,19.4,4.1,0,29,45,12.06,-,0,1,-,0
4402,5,6078240,1,37.8,15.5,13.9,1,16,22,11.24,10,1,1,-,0
4403,5,6079413,1,42.7,18.6,9.8,1,15,24,12.07,20,0,1,-,0
4404,5,6093650,1,42.8,-,-,1,19,45,11.78,20,0,0,-,0
4405,5,6100000,2,48.7,34.0,7.0,0,3,12,11.4,10,0,1,0,1
4406,5,6100000,1,39.0,20.5,9.0,0,1,14,12.02,10,1,0,1,1
4407,5,6100000,1,37.0,18.0,8.0,0,12,16,8.75,12,1,1,-,1
4408,5,6100000,3,57.9,42.5,6.0,0,6,9,11.12,10,0,1,1,1
4409,5,6100000,2,45.0,30.0,6.0,0,11,14,8.86,15,0,1,1,1
4410,5,6100000,3,56.0,42.0,6.0,0,3,9,11.45,-,0,1,0,1
4411,5,6100000,2,43.0,27.0,6.0,0,4,5,7.22,14,1,1,-,1
4412,5,6100000,1,30.0,18.0,6.0,0,7,8,5.35,10,0,1,0,1
4413,5,6147270,1,40.9,15.1,15.5,1,3,22,11.24,10,1,1,-,0
4414,5,6150000,1,38.9,19.0,8.0,0,8,17,7.25,9,1,1,0,1
4415,5,6150000,3,61.0,43.0,6.0,0,9,9,12.04,-,0,1,-,1
4416,5,6152003,1,42.7,-,-,1,23,45,11.78,20,0,0,-,0
4417,5,6165900,1,40.3,16.4,10.0,1,25,45,12.06,15,0,1,-,0
4418,5,6168960,1,40.8,14.7,9.4,1,24,24,12.06,15,0,1,-,0
4419,5,6187320,1,43.2,-,-,1,21,45,11.78,20,0,0,-,0
4420,5,6190140,1,33.9,15.0,8.0,0,8,12,10.49,5,1,0,-,0
4421,5,6191250,1,38.1,14.3,10.5,0,13,24,12.06,-,0,1,-,0
4422,5,6200000,2,42.0,24.0,6.0,0,4,12,10.38,-,0,1,0,1
4423,5,6200000,1,38.0,19.0,9.0,0,14,16,8.16,5,0,1,1,1
4424,5,6200000,1,38.0,19.0,9.0,0,7,17,13.29,9,1,1,1,1
4425,5,12500000,3,77.0,44.0,8.0,0,8,22,11.52,15,1,0,-,1
4426,5,10653046,2,61.5,31.0,12.2,1,2,20,3.58,10,1,1,-,0
4427,5,9500000,3,80.3,48.6,9.0,0,5,16,14.59,10,1,1,1,1
4428,5,6203385,1,45.9,17.4,10.1,1,2,24,11.78,20,0,1,-,0
4429,5,6207300,1,36.3,19.5,4.1,0,31,45,12.06,-,0,1,-,0
4430,5,6246000,1,36.0,19.3,4.1,0,36,45,12.06,-,0,1,-,0
4431,5,6249000,1,38.7,20.0,9.0,0,6,17,14.78,5,1,1,1,1
4432,5,6249753,1,47.9,-,-,1,9,24,12.03,20,0,0,-,0
4433,5,6249752,1,47.9,-,-,1,9,24,12.03,8,0,1,-,0
4434,5,6250000,1,33.0,18.0,8.0,0,4,9,7.36,23,1,1,-,1
4435,5,6259140,1,40.2,15.2,9.9,1,31,45,12.06,15,0,1,-,0
4436,5,6268500,1,39.8,16.4,10.0,1,35,45,12.06,15,0,1,-,0
4437,5,6270000,2,43.4,28.8,6.0,0,7,9,9.99,14,1,1,1,1
4438,5,6273000,1,36.0,26.0,5.0,1,7,12,3.55,15,1,1,-,0
4439,5,6290000,2,45.0,29.0,6.5,0,7,9,9.99,10,1,1,0,1
4440,5,6290000,2,53.0,30.3,8.5,0,5,12,11.94,-,0,1,1,1
4441,5,6291480,1,43.6,18.0,14.0,1,10,12,13.49,7,1,1,-,0
4442,5,6294510,1,40.9,18.1,10.7,1,22,24,12.06,15,0,1,-,0
4443,5,6299280,1,46.8,24.4,10.2,0,2,25,10.49,5,1,0,-,0
4444,5,6300000,1,35.0,21.7,7.8,0,11,12,11.79,10,1,1,1,1
4445,5,6300000,1,35.0,20.0,9.0,0,4,15,8.6,5,1,1,1,1
4446,5,6300000,1,36.0,19.2,8.3,0,14,16,9.1,10,1,1,0,1
4447,5,6300000,2,40.0,24.0,6.5,0,7,14,8.41,13,1,1,1,1
4448,5,6300000,2,44.8,28.0,6.0,0,1,9,13.85,2,1,0,-,1
4449,5,6300000,2,44.0,28.0,6.0,0,7,9,10.65,10,0,0,0,1
4450,5,6300200,1,43.6,-,-,1,25,45,11.78,20,0,0,-,0
4451,5,6312015,1,40.4,23.0,9.0,1,13,13,4.08,3,0,1,-,0
4452,5,6330545,1,44.2,-,-,1,21,45,11.78,20,0,0,-,0
4453,5,6200000,2,47.7,25.2,7.0,0,1,4,8.57,10,1,0,-,1
4454,5,13748400,1,51.3,51.3,14.4,1,2,8,2.76,7,0,1,-,0
4455,5,7900000,2,44.0,30.0,6.3,0,3,12,7.56,15,1,1,1,1
4456,5,6337175,1,48.1,20.6,13.5,1,12,24,12.06,15,0,1,-,0
4457,5,6337175,1,48.1,-,-,1,12,24,12.03,8,0,1,-,0
4458,5,6340000,2,44.7,28.0,6.0,0,1,5,8.77,7,1,0,1,1
4459,5,6341213,1,43.5,17.9,10.7,1,23,24,12.13,20,0,1,-,0
4460,5,6341425,1,43.0,-,-,1,32,45,11.78,20,0,0,-,0
4461,5,6346800,1,41.0,18.1,10.7,1,24,24,12.06,15,0,1,-,0
4462,5,6350000,2,38.0,25.4,7.0,1,5,9,5.84,7,1,1,1,1
4463,5,6350000,1,36.0,19.0,9.0,1,1,15,8.6,10,1,1,0,1
4464,5,6351795,1,43.7,17.9,10.7,1,22,24,12.13,20,0,1,-,0
4465,5,6353999,1,39.4,23.0,9.0,1,13,13,4.08,3,0,1,-,0
4466,5,6356173,1,43.1,-,-,1,32,45,11.78,20,0,0,-,0
4467,5,6373300,1,46.0,-,-,1,10,24,12.06,15,0,1,-,0
4468,5,6385200,1,48.0,20.6,13.5,1,15,24,12.06,15,0,1,-,0
4469,5,6385583,1,47.1,20.7,13.7,1,3,22,11.78,20,0,1,-,0
4470,5,6390895,1,46.7,17.4,10.1,1,6,21,11.78,20,0,1,-,0
4471,5,6395825,1,50.5,16.3,10.0,1,2,17,11.78,20,0,1,-,0
4472,5,6400000,1,34.0,22.0,8.0,0,19,22,8.86,18,1,0,-,1
4473,5,6400000,1,30.6,17.2,6.0,0,2,12,9.91,9,1,0,1,1
4474,5,6400000,2,44.1,30.0,6.0,0,3,9,14.78,12,1,0,1,1
4475,5,6400000,1,46.0,19.0,11.5,1,3,25,9.67,5,0,1,-,1
4476,5,6400000,2,42.4,28.0,6.0,0,4,9,9.37,10,1,1,1,1
4477,5,6400000,2,44.8,30.3,6.0,0,4,5,8.29,10,1,1,1,1
4478,5,6417600,1,38.2,16.0,12.0,1,12,19,13.49,7,1,0,-,0
4479,5,6418180,1,43.9,17.9,10.7,1,24,24,12.13,20,0,1,-,0
4480,5,6425211,1,43.7,17.6,9.8,1,22,45,11.78,15,0,1,0,1
4481,5,12500000,3,65.0,40.0,8.5,0,6,16,6.01,8,1,1,1,1
4482,5,8200000,2,60.4,32.3,10.8,1,7,12,9.77,5,0,1,-,0
4483,5,10450000,2,60.0,35.0,10.5,0,5,17,11.22,20,1,1,1,1
4484,5,6429995,1,50.6,16.3,10.0,1,3,17,11.78,20,0,1,-,0
4485,5,6430250,1,44.5,-,-,1,25,45,11.78,20,0,0,-,0
4486,5,6431950,1,39.1,16.6,10.3,0,17,17,12.06,-,0,1,-,0
4487,5,6443220,1,40.6,15.1,15.5,1,12,22,11.24,10,1,1,-,0
4488,5,6451500,1,44.0,-,-,1,30,45,11.78,20,0,0,-,0
4489,5,6464250,1,46.8,17.4,10.1,1,9,21,11.78,20,0,1,-,0
4490,5,6466005,1,40.1,23.0,9.0,1,13,13,4.08,3,0,1,-,0
4491,5,6476660,1,44.3,-,-,1,29,45,11.78,20,0,0,-,0
4492,5,6482009,1,40.2,23.0,8.0,1,11,13,4.08,3,0,1,-,0
4493,5,6482100,1,46.5,17.4,10.1,1,12,24,11.78,20,0,1,-,0
4494,5,6482100,1,49.2,16.3,10.0,1,14,17,12.06,15,0,1,-,0
4495,5,6490620,1,42.8,17.3,9.9,1,21,45,12.06,15,0,1,-,0
4496,5,6498690,1,41.9,22.6,15.9,1,9,22,11.24,10,1,1,-,0
4497,5,6499000,1,37.8,19.2,7.3,0,16,17,9.2,10,1,1,-,1
4498,5,6499000,3,60.0,44.0,6.0,0,3,9,10.5,8,0,1,1,1
4499,5,6500000,3,60.0,39.0,6.0,0,2,9,8.9,15,1,0,-,1
4500,5,6500000,1,33.0,21.0,5.5,0,3,5,4.19,9,0,1,1,1
4501,5,6500000,2,50.9,30.6,9.7,0,2,12,13.38,5,1,0,-,1
4502,5,6500000,2,53.0,31.0,9.0,0,7,12,11.94,11,0,1,0,1
4503,5,6500000,3,60.0,40.0,6.0,0,2,9,8.9,22,1,0,-,1
4504,5,6500000,1,42.0,17.0,12.0,1,13,24,12.03,10,0,1,0,1
4505,5,6500000,2,45.5,32.0,6.5,0,5,5,9.07,11,1,1,0,1
4506,5,6500000,1,38.0,18.9,9.0,0,6,16,10.62,10,1,1,1,1
4507,5,6500000,1,35.1,18.1,8.6,1,9,15,8.05,1,1,1,0,1
4508,5,6500000,2,47.2,30.0,7.0,0,9,9,9.31,19,1,1,1,1
4509,5,14358643,1,52.8,14.0,27.4,1,2,18,2.95,8,1,0,-,0
4510,5,11900000,2,52.6,30.6,9.6,0,17,17,6.72,12,1,1,1,1
4511,5,13748400,1,51.3,20.0,16.0,1,2,8,2.76,7,1,0,-,0
4512,5,6500000,2,44.0,28.0,6.0,0,7,9,12.2,15,1,0,1,1
4513,5,6500000,2,44.3,29.3,6.3,0,7,9,7.97,10,1,1,0,1
4514,5,6500000,1,30.0,20.0,6.0,1,3,9,5.27,12,1,1,1,1
4515,5,6500000,1,38.0,20.0,10.0,0,3,22,9.52,5,0,1,-,1
4516,5,6500000,2,48.0,31.0,6.0,0,6,9,7.73,10,1,1,-,1
4517,5,6500000,2,38.2,23.0,6.6,0,1,12,6.86,8,1,0,1,1
4518,5,6500000,1,55.1,22.0,12.0,1,12,15,9.99,3,0,1,0,1
4519,5,6500000,3,51.0,34.0,6.1,0,4,9,10.08,10,0,1,-,1
4520,5,6500000,2,45.7,30.3,6.6,0,8,12,10.32,-,0,1,1,1
4521,5,6500000,2,53.5,34.0,9.0,0,2,16,13.5,20,1,1,0,1
4522,5,6500000,3,60.0,44.0,6.0,0,9,9,12.5,7,0,1,1,1
4523,5,6500000,3,61.0,42.0,6.0,0,9,9,10.48,-,0,1,0,1
4524,5,6500000,1,38.0,19.2,8.5,0,15,17,13.25,5,1,1,1,1
4525,5,6500000,1,32.0,21.0,5.5,0,8,9,6.41,5,1,1,1,1
4526,5,6510150,1,44.4,-,-,1,30,45,11.78,20,0,0,-,0
4527,5,6511680,1,50.4,19.0,12.9,1,8,17,12.06,15,0,1,-,0
4528,5,6513885,1,42.7,17.3,9.9,1,23,45,12.06,15,0,1,-,0
4529,5,6515250,1,43.8,-,-,1,35,45,11.78,20,0,0,-,0
4530,5,6515845,1,46.6,17.4,10.1,1,13,24,11.78,20,0,1,-,0
4531,5,6523750,1,50.0,16.3,10.0,1,11,17,11.78,20,0,1,-,0
4532,5,6527040,1,41.6,14.0,15.6,1,4,22,11.24,10,1,1,-,0
4533,5,6534507,1,48.9,20.6,13.5,1,24,24,11.78,15,0,1,0,1
4534,5,6550000,1,38.4,19.3,8.3,0,13,17,7.18,3,1,1,1,1
4535,5,6550000,2,45.1,29.0,6.0,0,4,12,8.69,13,1,1,1,1
4536,5,6550440,1,49.4,16.3,10.0,1,16,17,11.78,20,0,1,-,0
4537,5,63147000,3,102.0,57.0,13.0,1,11,17,3.13,5,1,0,-,1
4538,5,14300000,3,74.2,45.7,10.1,0,16,17,8.87,23,1,1,1,1
4539,5,2350000,1,25.6,20.0,5.0,1,18,19,9.84,25,1,0,-,0
4540,5,6550440,1,49.4,16.3,10.0,1,16,17,12.06,15,0,1,-,0
4541,5,6552395,1,49.1,20.6,13.5,1,16,24,12.06,15,0,1,-,0
4542,5,6553118,1,49.9,16.3,10.0,1,13,17,11.78,20,0,1,-,0
4543,5,6555880,1,49.6,16.3,10.0,1,15,17,11.78,20,0,1,-,0
4544,5,6555880,1,49.6,16.3,10.0,1,15,17,12.06,15,0,1,-,0
4545,5,6558430,1,44.6,-,-,1,31,45,11.78,20,0,0,-,0
4546,5,6563487,1,46.1,17.4,9.8,1,19,24,12.06,15,0,1,-,0
4547,5,6567270,1,48.9,-,-,1,18,24,12.03,8,0,1,-,0
4548,5,6574665,1,43.7,-,-,1,39,45,11.78,20,0,0,-,0
4549,5,6575000,2,48.0,31.0,7.0,0,8,12,9.62,15,1,1,1,1
4550,5,6580700,1,49.0,-,-,1,18,24,12.03,8,0,1,-,0
4551,5,6600000,1,42.0,21.0,9.0,0,12,12,6.0,7,1,1,1,1
4552,5,6600000,1,39.0,20.0,9.0,0,2,12,6.13,8,1,0,-,1
4553,5,6600000,2,37.0,24.0,8.0,0,1,9,2.87,5,1,0,1,1
4554,5,6600000,3,58.6,40.0,8.0,0,4,9,11.22,10,0,1,-,1
4555,5,6600000,1,45.0,19.0,15.3,0,2,9,13.55,3,1,0,-,1
4556,5,6600000,1,31.0,19.0,7.0,1,2,8,4.85,-,0,0,1,1
4557,5,6600000,1,39.0,20.5,8.5,0,16,16,9.3,12,1,1,0,1
4558,5,6601525,1,49.0,20.6,13.5,1,19,24,12.06,15,0,1,-,0
4559,5,6609218,1,46.7,-,-,1,11,18,12.03,20,0,0,-,0
4560,5,6610000,1,40.9,17.3,9.9,1,12,24,12.07,15,0,1,-,0
4561,5,6611342,1,49.7,16.3,10.0,1,17,17,12.06,15,0,1,-,0
4562,5,6616060,1,48.8,20.6,13.5,1,21,24,12.06,15,0,1,-,0
4563,5,6623200,1,48.7,-,-,1,22,24,12.03,20,0,0,-,0
4564,5,6636018,1,43.0,23.0,9.0,1,2,24,4.08,3,0,1,-,0
4565,5,6555600,2,60.7,35.0,18.0,1,2,12,13.49,7,1,1,-,0
4566,5,36324963,4,151.0,89.0,15.0,1,3,15,3.08,8,1,0,-,0
4567,5,13173093,1,53.7,22.1,12.2,1,2,10,2.91,8,1,0,-,0
4568,5,6645800,1,40.4,16.4,10.2,0,17,17,12.06,-,0,1,-,0
4569,5,6671650,1,47.0,17.4,10.1,1,18,21,11.78,20,0,1,-,0
4570,5,6678225,1,44.3,17.6,9.8,1,19,45,12.06,15,0,1,-,0
4571,5,6679260,1,43.4,17.6,9.8,1,27,45,12.06,15,0,1,-,0
4572,5,6692393,1,43.7,23.0,8.0,1,10,13,4.08,3,0,1,-,0
4573,5,6695612,1,42.6,23.0,10.0,1,10,13,4.08,3,0,1,-,0
4574,5,6698468,1,49.1,-,-,1,23,24,12.03,20,0,0,-,0
4575,5,6700000,2,45.0,32.0,6.0,0,2,9,14.78,5,1,0,0,1
4576,5,6700000,2,45.0,28.0,6.0,0,3,9,9.18,5,1,0,1,1
4577,5,6700000,2,47.0,31.0,7.5,0,4,12,9.92,9,1,1,1,1
4578,5,6700000,1,30.0,17.8,-,1,5,9,4.22,10,0,1,1,1
4579,5,6700000,2,45.1,29.9,6.5,0,2,9,8.9,17,1,0,0,1
4580,5,6700000,2,46.0,31.0,6.0,0,1,5,7.44,5,0,0,1,1
4581,5,6700000,2,43.1,26.7,6.6,0,1,9,9.04,5,1,1,0,1
4582,5,6700000,1,47.0,24.0,8.5,0,7,12,10.55,9,1,0,-,1
4583,5,6704800,1,46.4,17.4,10.1,1,24,24,11.78,20,0,1,-,0
4584,5,6705000,1,50.0,16.7,19.8,1,2,15,12.06,15,0,1,-,0
4585,5,6706118,1,44.7,-,-,1,38,45,11.78,20,0,0,-,0
4586,5,6722325,1,43.3,17.6,9.8,1,30,45,12.06,15,0,1,-,0
4587,5,6726200,1,39.8,15.6,10.2,0,27,45,12.06,-,0,1,-,0
4588,5,6739997,1,44.6,23.0,10.0,1,7,13,4.08,3,0,1,-,0
4589,5,6750000,2,53.1,32.1,8.7,1,9,12,11.21,-,0,1,-,1
4590,5,6750000,1,37.0,19.0,8.0,0,3,17,10.42,5,1,1,-,1
4591,5,6750000,2,54.0,32.0,8.5,0,4,12,12.35,-,0,1,1,1
4592,5,6750000,2,51.8,30.6,8.4,0,2,17,14.94,12,1,1,1,1
4593,5,4500000,1,31.9,20.0,6.0,0,1,5,9.28,5,1,0,0,1
4594,5,25000000,3,90.3,47.5,13.7,1,3,17,6.76,11,1,1,-,1
4595,5,9169650,1,42.6,15.9,11.3,1,16,19,4.83,10,1,1,1,1
4596,5,6750000,1,33.0,18.2,6.6,0,4,9,8.95,4,1,0,1,1
4597,5,6750000,1,37.7,19.0,9.0,0,7,16,9.55,11,1,1,1,1
4598,5,6770400,1,43.4,22.6,15.9,1,18,22,11.24,10,1,1,-,0
4599,5,6782490,1,44.2,17.6,9.8,1,26,45,12.06,15,0,1,-,0
4600,5,6782940,1,47.4,20.7,13.7,1,2,22,12.06,15,0,1,-,0
4601,5,6790000,3,58.0,44.1,6.0,0,1,9,9.8,10,1,1,1,1
4602,5,6800000,2,63.0,34.0,11.0,0,6,16,9.78,28,1,1,-,0
4603,5,6800000,1,39.0,19.0,9.0,0,12,16,8.21,5,1,1,0,1
4604,5,6800000,2,41.0,27.0,6.0,1,1,5,3.12,19,1,0,-,1
4605,5,6800000,1,42.0,20.0,10.6,1,23,25,12.42,15,0,1,0,1
4606,5,6800000,2,37.6,23.9,6.6,1,8,9,6.71,10,1,1,-,1
4607,5,6800000,2,51.0,30.0,8.6,0,2,12,9.95,3,1,0,0,1
4608,5,6800000,2,43.9,27.7,6.0,0,6,9,9.4,7,1,0,0,1
4609,5,6800000,2,36.8,26.0,6.0,0,7,9,6.71,10,1,1,-,1
4610,5,6800000,2,36.8,26.0,6.0,0,7,9,6.71,12,1,1,-,1
4611,5,6800000,1,40.0,20.1,10.1,0,17,22,13.25,9,0,1,1,1
4612,5,6800000,1,38.0,20.0,10.0,0,8,16,3.18,12,1,1,1,1
4613,5,6800000,2,44.6,28.5,7.0,0,4,9,9.04,7,1,0,1,1
4614,5,6800000,2,45.0,30.0,7.0,0,5,9,8.56,6,1,1,1,1
4615,5,6800500,1,40.6,14.5,9.1,0,19,24,12.13,-,0,1,-,0
4616,5,6823630,1,45.1,-,-,1,41,45,11.78,20,0,0,-,0
4617,5,6827200,1,50.2,19.0,12.9,1,8,24,12.1,20,0,1,-,0
4618,5,6835360,1,44.8,-,-,1,44,45,11.78,20,0,0,-,0
4619,5,6838800,1,41.7,17.4,10.5,0,16,21,12.06,-,0,1,-,0
4620,5,6850000,3,54.5,39.0,6.0,1,2,5,8.91,15,1,1,1,1
4621,5,5000000,2,61.8,32.4,-,0,2,20,9.76,3,0,1,-,0
4622,5,15146439,1,44.4,17.3,14.2,1,5,12,2.59,10,0,1,-,0
4623,5,3500000,2,37.4,23.4,6.3,0,11,12,8.44,13,1,1,-,1
4624,5,6851900,2,55.3,23.0,9.0,1,7,14,4.08,3,0,1,-,0
4625,5,6852105,1,50.7,19.0,12.9,1,6,24,12.1,20,0,1,-,0
4626,5,6857503,1,50.9,19.0,12.9,1,5,24,12.1,20,0,1,-,0
4627,5,6860000,1,48.4,17.7,14.1,1,1,15,9.99,31,1,0,-,1
4628,5,6884010,1,44.6,17.6,9.8,1,28,45,12.06,15,0,1,-,0
4629,5,6886620,1,46.8,17.4,9.8,1,11,21,12.06,15,0,1,-,0
4630,5,6890000,2,54.2,30.9,8.7,0,11,12,11.4,-,0,1,-,1
4631,5,6891650,1,40.9,14.7,9.2,0,21,24,12.13,-,0,1,-,0
4632,5,6894495,1,43.9,17.6,9.8,1,34,45,12.06,15,0,1,-,0
4633,5,6899000,2,49.1,30.1,7.5,0,1,12,9.81,8,0,1,0,1
4634,5,6900000,2,52.0,31.0,10.1,0,9,12,13.79,15,1,0,-,1
4635,5,6900000,2,45.0,28.0,6.0,0,8,9,11.97,7,1,0,1,1
4636,5,6900000,3,53.1,36.0,6.1,0,2,9,11.89,10,1,0,1,1
4637,5,6899999,2,40.0,24.0,8.0,0,3,12,6.74,10,1,1,1,1
4638,5,6900000,2,42.0,28.0,6.0,1,9,9,7.32,18,1,1,1,1
4639,5,6900000,2,45.0,28.7,6.5,0,8,9,8.07,6,1,0,1,1
4640,5,6900000,2,45.0,30.0,7.0,0,12,12,11.79,7,1,1,-,1
4641,5,6900000,2,43.5,28.2,6.0,0,3,9,9.28,8,1,0,-,1
4642,5,6914021,1,42.9,23.0,9.0,1,12,13,4.08,3,0,1,-,0
4643,5,6936310,1,54.8,18.2,14.9,1,9,17,11.78,15,0,1,0,1
4644,5,6950000,2,52.0,33.0,10.0,0,3,12,10.15,5,1,0,-,1
4645,5,6950000,1,37.0,20.0,9.5,0,6,14,8.57,5,1,1,-,1
4646,5,6950000,1,34.7,19.3,10.0,0,14,16,11.93,13,1,1,1,1
4647,5,6975313,1,50.5,19.0,12.9,1,13,24,12.1,20,0,1,-,0
4648,5,6983505,1,49.9,16.7,19.8,1,15,15,12.06,15,0,1,-,0
4649,5,7290000,3,50.0,35.0,6.0,0,1,9,12.92,7,1,1,-,1
4650,5,16200000,3,80.0,54.2,11.0,0,4,10,3.36,10,1,1,1,1
4651,5,13000000,2,64.0,32.2,12.2,1,13,15,4.13,-,0,1,1,1
4652,5,6990000,2,51.0,31.5,8.5,0,4,17,15.01,9,1,1,1,1
4653,5,6990000,1,38.0,18.0,9.0,0,2,16,14.17,5,1,1,0,1
4654,5,6990000,1,34.0,20.0,6.5,0,2,5,3.03,13,1,1,1,1
4655,5,7000000,1,34.0,20.0,6.0,0,2,9,8.67,8,1,1,-,1
4656,5,7000000,1,32.0,15.0,8.8,0,10,16,2.8,2,1,0,1,1
4657,5,7000000,2,38.5,24.0,6.5,0,10,12,8.94,17,1,1,-,1
4658,5,6999999,3,50.0,35.0,6.0,0,6,9,9.28,10,1,1,1,1
4659,5,7000000,2,44.0,29.0,6.0,0,5,9,9.99,15,1,0,1,1
4660,5,7000000,1,38.2,19.1,8.0,0,14,17,7.73,5,1,1,0,1
4661,5,7000000,1,39.0,19.0,8.5,0,4,16,10.62,8,1,1,1,1
4662,5,7000000,2,38.0,24.0,6.0,1,9,9,5.9,2,1,1,-,1
4663,5,7000000,2,42.5,26.7,5.6,0,4,5,7.01,3,1,1,1,1
4664,5,7011495,1,50.1,16.7,19.8,1,15,17,12.06,15,0,1,-,0
4665,5,7015545,1,47.1,20.7,13.7,1,15,21,12.06,15,0,1,-,0
4666,5,7016410,1,55.4,18.2,14.9,1,2,17,12.06,15,0,1,-,0
4667,5,7020135,1,44.7,17.6,9.8,1,34,45,12.06,15,0,1,-,0
4668,5,7033750,1,42.5,17.4,9.8,0,19,45,12.06,-,0,1,-,0
4669,5,7033975,1,47.1,24.5,10.0,0,25,25,10.49,5,1,0,-,0
4670,5,7042950,1,47.0,17.4,9.8,1,17,21,12.06,15,0,1,-,0
4671,5,7046415,1,54.9,18.2,14.9,1,6,17,11.78,20,0,1,-,0
4672,5,7063500,1,55.4,18.2,14.9,1,4,17,11.78,20,0,1,-,0
4673,5,7067240,1,54.7,18.2,14.9,1,8,17,11.78,20,0,1,-,0
4674,5,7067240,1,54.7,18.2,14.9,1,8,17,12.06,15,0,1,-,0
4675,5,7074252,1,55.3,18.2,14.9,1,5,17,12.06,15,0,1,-,0
4676,5,7080640,2,46.4,29.1,8.0,0,7,25,10.49,5,1,0,-,0
4677,5,3800000,2,40.0,40.0,-,1,2,2,3.52,-,0,0,0,1
4678,5,11900000,3,90.0,62.0,24.0,0,8,13,10.54,7,1,0,-,0
4679,5,5000000,2,61.8,32.4,-,0,2,20,9.76,3,0,1,-,0
4680,5,7091800,2,60.1,35.0,18.0,1,6,12,13.49,7,1,1,-,0
4681,5,7100000,2,47.1,30.2,7.0,0,4,12,12.76,10,1,1,1,1
4682,5,7100000,2,45.5,29.5,6.0,0,9,9,14.08,7,1,1,1,1
4683,5,7100000,3,60.0,44.0,7.0,0,1,9,9.72,17,1,1,-,1
4684,5,7100000,2,44.0,30.0,6.5,0,2,9,7.78,8,1,0,1,1
4685,5,7100730,2,45.9,28.9,8.0,0,17,25,10.49,5,1,0,-,0
4686,5,7128000,1,43.2,17.9,11.2,0,14,24,12.13,-,0,1,-,0
4687,5,7144000,1,47.0,24.4,10.2,0,23,25,10.49,5,1,0,-,0
4688,5,7152250,1,42.7,17.6,10.1,0,23,45,12.06,-,0,1,-,0
4689,5,7152570,1,44.9,17.6,9.8,1,39,45,12.06,15,0,1,-,0
4690,5,7178760,2,45.9,28.9,8.0,0,17,25,10.49,5,1,0,-,0
4691,5,7187005,1,51.4,19.0,12.9,1,17,24,12.16,20,0,1,-,0
4692,5,7187360,2,46.4,29.1,8.0,0,10,25,10.49,5,1,0,-,0
4693,5,7200000,2,45.0,29.0,7.0,0,9,9,7.54,7,1,0,1,1
4694,5,7200000,1,38.0,19.1,8.0,0,12,16,8.16,28,1,1,1,1
4695,5,7200000,2,50.1,33.0,7.0,0,12,12,13.4,21,1,1,1,1
4696,5,7200000,2,42.0,29.0,6.0,0,3,9,6.68,-,0,1,1,1
4697,5,7200000,2,50.5,30.4,8.6,0,11,16,9.28,15,1,1,1,1
4698,5,7200000,2,52.0,30.0,9.0,0,5,12,14.93,7,1,1,-,1
4699,5,7200000,3,57.0,38.0,6.5,0,3,9,9.53,23,1,1,1,1
4700,5,7200000,1,31.0,18.6,6.0,1,2,8,3.91,10,1,1,1,1
4701,5,7209540,1,50.7,19.0,12.9,1,4,24,12.06,15,0,1,-,0
4702,5,7212590,1,55.1,18.2,14.9,1,12,17,11.78,20,0,1,-,0
4703,5,7216628,1,51.3,19.0,12.9,1,19,24,12.1,20,0,1,-,0
4704,5,7243040,1,44.6,22.6,15.9,1,13,22,11.24,10,1,1,-,0
4705,5,14129000,3,87.0,47.0,15.0,1,10,24,4.08,8,1,1,-,0
4706,5,8066925,2,62.9,29.5,10.6,1,3,45,12.06,15,0,1,-,0
4707,5,14358643,1,52.8,14.0,27.4,1,2,18,2.95,8,1,0,-,0
4708,5,7249000,1,44.0,20.0,10.0,0,13,22,7.5,15,1,1,1,1
4709,5,7250000,2,46.8,31.9,8.7,0,7,14,9.79,14,1,1,1,1
4710,5,7250016,1,48.0,23.0,11.0,1,7,13,4.08,3,0,1,-,0
4711,5,7250000,2,48.3,38.0,6.2,0,4,5,6.99,8,1,1,-,1
4712,5,7254600,1,42.8,17.5,10.1,0,28,45,12.06,-,0,1,-,0
4713,5,7269625,1,55.0,18.2,14.9,1,15,17,11.78,20,0,1,-,0
